Metric,Average Precision,Average Recall,Average F1 Score
ROUGE-1,0.9979447436266511,0.08759954518505775,0.16099708802303225
ROUGE-2,0.9156937065329503,0.0802875390902596,0.147572007188634
ROUGE-L,0.9559600696974351,0.08387508330467848,0.15415809869098165
