Metric,Average Precision,Average Recall,Average F1 Score
ROUGE-1,0.9983812426199649,0.12678284912585422,0.22481898511056275
ROUGE-2,0.9281597908865019,0.11779898609880846,0.20890150231235252
ROUGE-L,0.9751447891438176,0.1238553225850345,0.21962261430325478
