Metric,Average Precision,Average Recall,Average F1 Score
ROUGE-1,0.9672783115829674,0.13904724809213742,0.242673991284364
ROUGE-2,0.7343576388667455,0.1047410993830622,0.18293196921381852
ROUGE-L,0.48401192379210356,0.06934305670558244,0.12104639285222735
