Metric,Average Precision,Average Recall,Average F1 Score
ROUGE-1,0.9967735472220028,0.08271305863678832,0.15264861633415838
ROUGE-2,0.9090924866302612,0.0753267962149201,0.13903380283587352
ROUGE-L,0.582978067665681,0.048490605379844204,0.08947285560693594
